ABCB1	ABCB1*
ABCC4	ABCC4*
ABCG2	ABCG2*
ABL1	ABL1
ABL2	ABL2
AKT1	AKT1
AKT2	AKT2
AKT3	AKT3
ALK	ALK**
APC	APC
AR	AR
ASXL1	ASXL1
ATM	ATM
ATRX	ATRX (NEW)
AURKA	AURKA
AURKB	AURKB
AXL	AXL (NEW)
BAK1	BAK1
BAP1	BAP1
BARD1	BARD1
BCL2	BCL2
BCL2L11	BCL2L11
BCOR	BCOR
BCR	BCR*
BRAF	BRAF**
BRCA1	BRCA1
BRCA2	BRCA2
BRIP1	BRIP1 (NEW)
CALR	CALR (NEW)
CBL	CBL
CBLB	CBLB
CCND1	CCND1
CCNE1	CCNE1
CDH1	CDH1
CDK4	CDK4
CDK6	CDK6
CDK8	CDK8
CDKN1A	CDKN1A
CDKN2A	CDKN2A
CEBPA	CEBPA
CHD1	CHD1 (NEW)
CHEK1	CHEK1
CHEK2	CHEK2
CREBBP	CREBBP
CRLF2	CRLF2
CSF1R	CSF1R
CTNNB1	CTNNB1
CYP1B1	CYP1B1*
CYP2C19	CYP2C19*
CYP2C8	CYP2C8*
CYP2D6	CYP2D6*
CYP3A4	CYP3A4*
CYP3A5	CYP3A5*
DAXX	DAXX
DDR2	DDR2
DEPDC5	DEPDC5 (NEW)
DNAJB1	DNAJB1 (NEW)
DNMT3A	DNMT3A
DOCK7	DOCK7 (NEW)
DPYD	DPYD
EGFR	EGFR
EIF3A	EIF3A
EML4	EML4*
EPHA3	EPHA3
EPHA5	EPHA5
EPHB2	EPHB2
EPHB6	EPHB6
ERBB2	ERBB2
ERBB3	ERBB3
ERBB4	ERBB4
ERCC2	ERCC2*
ESR1	ESR1*
ESR2	ESR2*
ETV6	ETV6
EZH2	EZH2
FAM175A	FAM175A (NEW)
FBXW7	FBXW7
FCGR1A	FCGR1A
FCGR2A	FCGR2A
FCGR3A	FCGR3A*
FGFR1	FGFR1
FGFR2	FGFR2
FGFR3	FGFR3
FGFR4	FGFR4
FLT1	FLT1
FLT3	FLT3
FLT4	FLT4
FOXA1	FOXA1
GAB2	GAB2
GATA1	GATA1
GATA2	GATA2
GATA3	GATA3
GLI1	GLI1 (NEW)
GNA11	GNA11
GNAQ	GNAQ
GNAS	GNAS
GRIN2A	GRIN2A
GRM3	GRM3
GSTP1	GSTP1*
H3F3A	H3F3A (NEW)
HDAC4	HDAC4
HIF1A	HIF1A
HNF1A	HNF1A
HRAS	HRAS
HSPH1	HSPH1*
IDH1	IDH1
IDH2	IDH2
IGF1R	IGF1R
IKZF1	IKZF1
IL7R	IL7R
ITPA	ITPA*
JAK1	JAK1
JAK2	JAK2
JAK3	JAK3
KDM6A	KDM6A
(UTX)	(UTX)
KDR	KDR
KIF5B	KIF5B*
KIT	KIT
KRAS	KRAS
LRP2	LRP2*
MAN1B1	MAN1B1*
MAP2K1	MAP2K1
MAP2K2	MAP2K2
MAP2K4	MAP2K4
MAPK1	MAPK1
MC1R	MC1R
MCL1	MCL1
MDM2	MDM2
MDM4	MDM4
MED12	MED12
MEN1	MEN1
MET	MET
MIOS	MIOS (NEW)
MITF	MITF
MLH1	MLH1**
MLH3	MLH3 (NEW)
MLL	MLL
KMT2A	(KMT2A)**   )
MPL	MPL             
MRE11A	MRE11A
MSH2	MSH2**
MSH6	MSH6**
MTAP	MTAP (NEW)
MTHFR	MTHFR*
MUTYH	MUTYH
MYC	MYC
MYCL1	MYCL1
MYCN	MYCN
NBN	NBN (NEW)
NF1	NF1
NF2	NF2
NKX2-1	NKX2-1
NOTCH1	NOTCH1
NOTCH2	NOTCH2
NPM1	NPM1
NPRL2	NPRL2 (NEW)
NPRL3	NPRL3 (NEW)
NQO1	NQO1*
NRAS	NRAS
NRP2	NRP2*
NTRK1	NTRK1
PAK1	PAK1 (NEW)
PALB2	PALB2 (NEW)
PAX5	PAX5
PBRM1	PBRM1
PDGFRA	PDGFRA
PDGFRB	PDGFRB
PHF6	PHF6
PIK3CA	PIK3CA
PIK3R1	PIK3R1
PLK1	PLK1 (NEW)
PLK2	PLK2 (NEW)
PLK3	PLK3 (NEW)
PLK4	PLK4 (NEW)
PML	PML*
PMS2	PMS2
POLD1	POLD1 (NEW)
POLE	POLE (NEW)
PRPF40B	PRPF40B
PTCH1	PTCH1
PTEN	PTEN
PTPN11	PTPN11
PTPRD	PTPRD
RAD51C	RAD51C (NEW)
RAD51D	RAD51D (NEW)
RAF1	RAF1
RARA	RARA**
RB1	RB1
RET	RET
RICTOR	RICTOR
ROS1	ROS1**
RPS14	RPS14
RUNX1	RUNX1
SF1	SF1
SF3B1	SF3B1
SHH	SHH (NEW)
SLC19A1	SLC19A1*
SLC22A2	SLC22A2*
SLCO1B3	SLCO1B3*
SMAD2	SMAD2
SMAD3	SMAD3
SMAD4	SMAD4
SMARCA4	SMARCA4
SMARCB1	SMARCB1
SMO	SMO
SOD2	SOD2*
SPOP	SPOP
SPRY4	SPRY4
SRC	SRC
SRSF2	SRSF2
STK11	STK11
SUFU	SUFU (NEW)
SULT1A1	SULT1A1*
SUZ12	SUZ12
TACC3	TACC3 (NEW)
TACSTD2	TACSTD2 (NEW)
TET2	TET2
TFG	TFG*
TGFBR2	TGFBR2
TMPRSS2	TMPRSS2*
TP53	TP53
TPMT	TPMT*
TRRAP	TRRAP
TSC1	TSC1
TSC2	TSC2
TYMS	TYMS*
TYR	TYR
U2AF1	U2AF1
U2AF35	(U2AF35)
U2AF2	U2AF2           
U2AF65	(U2AF65)
UGT1A1	UGT1A1*
UMPS	UMPS*
VHL	VHL
WT1	WT1
ZBTB16	ZBTB16 (NEW)
ZRSR2	ZRSR2